STATION_ID,LAT_DD,LONG_DD
8-403,40.77791,-73.76083
8-405,40.78889,-73.75806
9-409,40.82423,-73.71767
9-412,40.82009,-73.71357
9-413,40.80436,-73.71353
A1,40.8011,-73.82747
A2M,40.79926,-73.79131
A3,40.84348,-73.75935
A4,40.87259,-73.73428
A5,40.89229,-73.68531
B1S,40.94037,-73.66656
B2,40.93456,-73.65192
B3M,40.9189,-73.64013
B4,40.90566,-73.63624
DI1,40.88836,-73.77482
DI2,40.89306,-73.76405
E-12,40.84856,-73.80428
H-A3,40.92084,-73.71825
H-B,40.9081,-73.7078
H-C,40.85904,-73.67171
H-C1,40.88549,-73.6902
H-D,40.84037,-73.65731
Dup 8-403,40.77791,-73.76083
Dup 8-405,40.78889,-73.75806
Dup 9-409,40.82423,-73.71767
Dup 9-412,40.82009,-73.71357
Dup 9-413,40.80436,-73.71353
Dup A1,40.8011,-73.82747
Dup A2M,40.79926,-73.79131
Dup A3,40.84348,-73.75935
Dup A4,40.87259,-73.73428
Dup A5,40.89229,-73.68531
Dup B1S,40.94037,-73.66656
Dup B2,40.93456,-73.65192
Dup B3M,40.9189,-73.64013
Dup B4,40.90566,-73.63624
Dup DI1,40.88836,-73.77482
Dup DI2,40.89306,-73.76405
Dup E-12,40.84856,-73.80428
Dup H-A3,40.92084,-73.71825
Dup H-B,40.9081,-73.7078
Dup H-C,40.85904,-73.67171
Dup H-C1,40.88549,-73.6902
Dup H-D,40.84037,-73.65731
