ID,RECORD_ID,DATE_STATION_LINK,DATE,YEAR,MONTH,TIME_24H,STATION_ID,DEPTH_M,CLASS,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY_PSU,CHLA_UG_L,SECCHI_DEPTH_F,PH,BOD5_MG_L,TSS_MG_L,AMMONIA-AMMONIUM_MG_L,NITRITE_NITRATE_MG_L,PARTICULATE_N_MG_L,ORTHOPHOSPHATE_MG_L,TOTAL_DISSOLVED_ N_MG_L,TOTAL_DISSOLVED_P_MG_L,PARTICULATE_P_MG_L,DOC_MG_L,PARTICULATE_C_MG_L,DISSOLVED_SILICA_MG_L,BIOGENIC_SILICA_MG_L,SAMPLING SURVEY RUN,INVESTIGATION,STATION_ID_B,LISS_STUDY_AREA,EDIT NOTES,CLOUD_COVER,SEA_STATE,FIELD_NOTES,WEATHER,PREV_24_H_RAIN,PREV_48_H_RAIN,TIDE_TIME_NR,TIDE_RANGE_FT_NR,TIDE_TYPE_NR,TIDE_TIME_KP,TIDE_RANGE_FT_KP,TIDE_TYPE_KP
22558,9-413_1/15/2020_8:47_1.2,1/15/2020_9-413,1/15/2020,2020,January,8:47,9-413,1.2,Bottom,9.71,5.72,25.94,ND,2.0,7.28,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-413_B,Manhasset Bay,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22559,9-413_1/15/2020_8:47_0.5,1/15/2020_9-413,1/15/2020,2020,January,8:47,9-413,0.5,Surface,9.35,5.89,24.9,68.684,2.0,7.27,ND,25.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-413_S,Manhasset Bay,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22560,9-412_1/15/2020_8:55_3.2,1/15/2020_9-412,1/15/2020,2020,January,8:55,9-412,3.2,Bottom,9.89,5.476,26.17,ND,7.0,7.34,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-412_B,Manhasset Bay,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22561,9-412_1/15/2020_8:58_1.6,1/15/2020_9-412,1/15/2020,2020,January,8:58,9-412,1.6,Middle,10.15,5.522,25.99,ND,7.0,7.39,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-412_M,Manhasset Bay,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22562,9-412_1/15/2020_8:59_0.5,1/15/2020_9-412,1/15/2020,2020,January,8:59,9-412,0.5,Surface,10.74,5.539,25.96,54.109,7.0,7.39,< 3,4.70,0.130,0.323,0.073,0.154,ND,0.666,<0.10,2.06,0.577,3.21,0.511,15-Jan,17985,9-412_S,Manhasset Bay,ND,0,ripples,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22563,9-409_1/15/2020_9:03_3.5,1/15/2020_9-409,1/15/2020,2020,January,9:03,9-409,3.5,Bottom,10.08,5.439,26.17,ND,7.0,7.38,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-409_B,Manhasset Bay,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22564,9-409_1/15/2020_9:04_1.7,1/15/2020_9-409,1/15/2020,2020,January,9:04,9-409,1.7,Middle,10.34,5.443,25.94,ND,7.0,7.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-409_M,Manhasset Bay,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22565,9-409_1/15/2020_9:05_0.5,1/15/2020_9-409,1/15/2020,2020,January,9:05,9-409,0.5,Surface,10.42,5.448,25.92,32.734,7.0,7.41,ND,2.92,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,9-409_S,Manhasset Bay,ND,0,< 1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22566,A3_1/15/2020_9:16_19.4,1/15/2020_A3,1/15/2020,2020,January,9:16,A3,19.4,Bottom,10.29,5.017,26.74,ND,7.5,7.21,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A3_B,Mid-LIS Waters,ND,0,1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
22567,A3_1/15/2020_9:17_9.7,1/15/2020_A3,1/15/2020,2020,January,9:17,A3,9.7,Middle,10.24,5.08,26.37,ND,7.5,7.41,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,15-Jan,17985,A3_M,Mid-LIS Waters,ND,0,1 ft,ND,"sunny, clear",0,0,8:32,8.03,High,8:48,7.95,High
