ID,RECORD_ID,DATE_STATION_LINK,DATE,YEAR,MONTH,TIME_24H,STATION_ID,DEPTH_M,CLASS,DISSOLVED_OXYGEN_MG_L,TEMPERATURE_C,SALINITY_PSU,CHLA_UG_L,SECCHI_DEPTH_F,PH,BOD5_MG_L,TSS_MG_L,AMMONIA-AMMONIUM_MG_L,NITRITE_NITRATE_MG_L,PARTICULATE_N_MG_L,ORTHOPHOSPHATE_MG_L,TOTAL_DISSOLVED_ N_MG_L,TOTAL_DISSOLVED_P_MG_L,PARTICULATE_P_MG_L,DOC_MG_L,PARTICULATE_C_MG_L,DISSOLVED_SILICA_MG_L,BIOGENIC_SILICA_MG_L,SAMPLING SURVEY RUN,INVESTIGATION,STATION_ID_B,LISS_STUDY_AREA,CLOUD_COVER,SEA_STATE,FIELD_NOTES,WEATHER,PREV_24_H_RAIN,PREV_48_H_RAIN,TIDE_TIME_NR,TIDE_RANGE_FT_NR,TIDE_TYPE_NR,TIDE_TIME_KP,TIDE_RANGE_FT_KP,TIDE_TYPE_KP,EDIT NOTES,,,
25115,9-413_1/6/2022_6:57_0.6,1/6/2022_9-413,1/6/2022,2022,January,6:57,9-413,0.6,Middle,9.46,5.158,24.66,10.957,2.0,7.50,ND,42.72,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,9-413_M,Manhasset Bay,30,Ripples,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25116,9-412_1/6/2022_7:09_2.7,1/6/2022_9-412,1/6/2022,2022,January,7:09,9-412,2.7,Bottom,10.35,4.964,25.42,ND,5.0,7.93,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,9-412_B,Manhasset Bay,20,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25117,9-412_1/6/2022_7:10_1.4,1/6/2022_9-412,1/6/2022,2022,January,7:10,9-412,1.4,Middle,10.37,4.939,25.41,ND,5.0,7.93,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,9-412_M,Manhasset Bay,20,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25118,9-412_1/6/2022_7:11_0.5,1/6/2022_9-412,1/6/2022,2022,January,7:11,9-412,0.5,Surface,10.38,4.934,25.41,9.393,5.0,7.93,< 3,13.38,< 0.009,0.2310,0.1670,0.1015,0.54,0.1368,0.0188,2.04,0.8630,1.63,0.112,Jan-06,18296,9-412_S,Manhasset Bay,20,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,BOD < MDL and RL; NH3 < MDL & RL,,,
25119,9-409_1/6/2022_7:15_3.2,1/6/2022_9-409,1/6/2022,2022,January,7:15,9-409,3.2,Bottom,10.64,4.963,25.49,ND,6.0,7.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,9-409_B,Manhasset Bay,70,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25120,9-409_1/6/2022_7:16_1.7,1/6/2022_9-409,1/6/2022,2022,January,7:16,9-409,1.7,Middle,10.64,4.959,25.48,ND,6.0,7.98,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,9-409_M,Manhasset Bay,70,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25121,9-409_1/6/2022_7:16_0.5,1/6/2022_9-409,1/6/2022,2022,January,7:16,9-409,0.5,Surface,10.66,4.941,25.48,9.311,6.0,7.98,ND,8.52,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,9-409_S,Manhasset Bay,70,1-2 ft,ND,"Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25122,A3_1/6/2022_7:28_18.2,1/6/2022_A3,1/6/2022,2022,January,7:28,A3,18.2,Bottom,10.18,6.021,26.06,ND,ND,7.95,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A3_B,Mid-LIS Waters,40,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25123,A3_1/6/2022_7:29_9.2,1/6/2022_A3,1/6/2022,2022,January,7:29,A3,9.2,Middle,10.24,5.983,26.03,ND,ND,7.95,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A3_M,Mid-LIS Waters,40,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,,,,
25124,A3_1/6/2022_7:29_0.5,1/6/2022_A3,1/6/2022,2022,January,7:29,A3,0.5,Surface,10.33,5.927,26.00,4.564,ND,7.95,ND,3.32,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,Jan-06,18296,A3_S,Mid-LIS Waters,40,1-2 ft,"Strong currents, tall waves, and heavy winds prevented staff from accurately measuring secchi disk depth","Party cloudy, windy (16-25mph), air temp 40°F, wind chill 32°F",0.24,0.24,8:08,-0.21,Low,8:26,-0.22,Low,TSS estimated (residual < 2.5mg),,,
